SW Version,2022.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date and Time Started,2023-Oct-18 18:38:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date and Time Ended,2023-Oct-18 18:38:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Name,0J4CMD-3J4CMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Link Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reset RX After Applying Settings,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Area,15744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Opening,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Percentage,66.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Opening,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Percentage,48.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell,BER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell BER,1E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwell Time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Increment,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horizontal Range,-0.500 UI to 0.500 UI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Increment,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertical Range,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scan Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d statistical,-128,-120,-112,-104,-96,-88,-80,-72,-64,-56,-48,-40,-32,-24,-16,-8,0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128
-32,0.1254,0.118601,0.101224,0.0765425,0.0444709,0.0196242,0.00707756,0.00149288,0.000181916,1.66896E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,0.000154855,0.00697337,0.0349697,0.0785797,0.111707,0.124565,0.126192
-40,0.125643,0.124361,0.119373,0.101425,0.0781549,0.0485026,0.0241359,0.00922238,0.00242165,0.000268344,7.62951E-06,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,1.9789E-05,0.00262777,0.024526,0.0654029,0.109166,0.123632,0.125959,0.125967
-48,0.12592,0.12592,0.124512,0.118517,0.101566,0.0795267,0.0527828,0.0282729,0.0127362,0.00356751,0.000739228,7.27188E-05,3.57633E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.26501E-06,0.000707876,0.0148928,0.0511181,0.100365,0.122059,0.125812,0.125967,0.125967
-56,0.125951,0.12592,0.12589,0.125243,0.119513,0.106355,0.0865438,0.0583269,0.0356194,0.0179679,0.00651286,0.00141837,0.000165227,1.09674E-05,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,0.000223878,0.00850909,0.0423486,0.0908931,0.119717,0.125658,0.125967,0.125959,0.125967
-64,0.12602,0.12595,0.125924,0.125921,0.125368,0.118627,0.108782,0.0885648,0.065381,0.0409206,0.0241075,0.0104024,0.0030735,0.00050319,7.24804E-05,7.27188E-06,1.34709E-05,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.38422E-07,2.33654E-05,0.00352662,0.0297528,0.0790806,0.115884,0.125148,0.125959,0.125982,0.126467,0.126903
-72,0.128726,0.127769,0.127079,0.127066,0.126858,0.126286,0.121775,0.113446,0.0968186,0.0763412,0.0557845,0.0388923,0.0224288,0.00987169,0.00372344,0.00163534,0.00332527,0.000944986,2.45575E-05,2.38422E-07,1.58551E-05,3.75515E-05,9.13157E-05,0.00276081,0.0276633,0.0758654,0.115522,0.126988,0.127482,0.129027,0.130821,0.143738,0.152353
-80,0.145765,0.145908,0.149374,0.151016,0.14635,0.14649,0.146179,0.141942,0.139155,0.120806,0.106826,0.0894763,0.0708386,0.0503916,0.0378469,0.031803,0.0726478,0.0447458,0.0100561,0.00210575,0.00721239,0.0135827,0.021235,0.0604392,0.115934,0.154562,0.158147,0.161079,0.164936,0.173131,0.18279,0.224174,0.2316
-88,0.193084,0.211054,0.22646,0.222281,0.217577,0.216282,0.220415,0.217446,0.211126,0.210701,0.205361,0.192844,0.175896,0.157486,0.150981,0.148543,0.192226,0.172308,0.123918,0.0917519,0.133495,0.172462,0.212759,0.23997,0.248069,0.248644,0.249786,0.248276,0.247402,0.24595,0.249146,0.250826,0.251686
-96,0.243435,0.248908,0.251102,0.25147,0.250767,0.250584,0.249293,0.24879,0.248643,0.249055,0.248994,0.246157,0.24553,0.238003,0.229826,0.222553,0.244051,0.240403,0.206596,0.197457,0.229435,0.245932,0.250582,0.25181,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251872,0.251903,0.251903
-104,0.251934,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251841,0.251903,0.251903,0.251903,0.251841,0.25181,0.251717,0.251903,0.251779,0.250403,0.247303,0.251563,0.251872,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
-112,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
-120,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903,0.251903
Scan End,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
